1,jedan
2,dva
3,tri
4,cetiri
5,pet
6,shest
7,sedam
8,osam
9,devet
10,deset
11,jedanaest
12,dvanaest
13,trinaest
20,dvadeset
21,dvadeset i jedan
22,dvadeset i dva
30,trideset
31,trideset i jedan
40,cetrdeset
50,pedeset
60,shezdeset
70,sedamdeset
80,osamdeset
90,devedeset
100,sto
500,petsto
1000,hiljada
